,Fiyat,Brüt Metrekare,yaş,bina_kat,Kullanım,tarih,tipi,Net Metrekare,oda sayısı,kaçıncı kat,ısıtma
328,1775000,135 M2,11-15,5,Boş,22 Aralık 2022,Konut,120 M2,3+1,5.Kat,Kombi Doğalgaz
330,1950000,150 M2,2,7,Boş,22 Aralık 2022,Konut,135 M2,3+1,6.Kat,Kombi Doğalgaz
332,1570000,110 M2,4,3,Mülk Sahibi Oturuyor,22 Aralık 2022,Konut,105 M2,2+1,Kot 1 (-1).Kat,Kombi Doğalgaz
334,1129000,85 M2,0 (Yeni),5,Boş,30 Aralık 2022,Konut,45 M2,1+1,1.Kat,Kombi Doğalgaz
336,170000,69 M2,21 Ve Üzeri,1,Mülk Sahibi Oturuyor,22 Aralık 2022,Konut,60 M2,2+1,Müstakil.Kat,Sobalı
338,1500000,85 M2,21 Ve Üzeri,5,Kiracı Oturuyor,22 Aralık 2022,Konut,70 M2,2+1,5.Kat,Kombi Doğalgaz
340,1300000,160 M2,21 Ve Üzeri,5,Boş,30 Aralık 2022,Konut,140 M2,3+1,4.Kat,Merkezi Doğalgaz
342,1960000,133 M2,3,14,Mülk Sahibi Oturuyor,21 Aralık 2022,Konut,110 M2,3+1,3.Kat,Kombi Doğalgaz
344,3140000,250 M2,16-20,3,Mülk Sahibi Oturuyor,21 Aralık 2022,Konut,200 M2,4+1,Düz Giriş,Kombi Doğalgaz
346,2650000,210 M2,5-10,6,Mülk Sahibi Oturuyor,22 Aralık 2022,Konut,180 M2,3+1,6.Kat,Kombi Doğalgaz
348,670000,80 M2,21 Ve Üzeri,5,Mülk Sahibi Oturuyor,22 Aralık 2022,Konut,75 M2,1+1,2.Kat,Kombi Doğalgaz
350,1980000,160 M2,11-15,6,Boş,21 Aralık 2022,Konut,150 M2,4.5+1,Çatı Katı,Kombi Doğalgaz
352,2175000,165 M2,11-15,5,Boş,30 Aralık 2022,Konut,145 M2,3+1,2.Kat,Doğalgaz Sobalı
354,1690000,140 M2,5-10,6,Boş,21 Aralık 2022,Konut,125 M2,3+1,6.Kat,Yerden Isıtma
356,660000,130 M2,21 Ve Üzeri,5,Boş,21 Aralık 2022,Konut,125 M2,3+1,2.Kat,Kombi Doğalgaz
358,930000,150 M2,0 (Yeni),4,Boş,21 Aralık 2022,Konut,140 M2,3+1,1.Kat,Kombi Doğalgaz
360,1850000,173 M2,3,5,Kiracı Oturuyor,21 Aralık 2022,Konut,145 M2,3+1,2.Kat,Yerden Isıtma
362,1675000,130 M2,21 Ve Üzeri,2,Mülk Sahibi Oturuyor,21 Aralık 2022,Konut,100 M2,3+1,Düz Giriş,Kombi Doğalgaz
364,2425000,135 M2,5-10,8,Kiracı Oturuyor,21 Aralık 2022,Konut,122 M2,3+1,5.Kat,Kombi Doğalgaz
366,4250000,135 M2,21 Ve Üzeri,7,Mülk Sahibi Oturuyor,21 Aralık 2022,Konut,120 M2,3+1,2.Kat,Kombi Doğalgaz
368,1250000,165 M2,5-10,5,Kiracı Oturuyor,21 Aralık 2022,Konut,145 M2,3+1,1.Kat,Kombi Doğalgaz
370,4250000,300 M2,1,7,Boş,21 Aralık 2022,Konut,260 M2,5+2,7.Kat,Yerden Isıtma
372,1800000,120 M2,21 Ve Üzeri,2,Kiracı Oturuyor,21 Aralık 2022,Konut,85 M2,4+1,Düz Giriş,Kombi Doğalgaz
