,Fiyat,Yaş,Bina Kat,Net Metrekare,Oda Sayısı,Kaçıncı Kat,7_Dubleks,7_Konut,7_Müstakil,7_Villa,11_Doğalgaz Sobalı,11_Kat Kaloriferi,11_Klimalı,11_Kombi Doğalgaz,11_Kombi Fueloil,11_Merkezi,11_Sobalı,11_Yerden Isıtma
257,1625000,3,4,90,3,1,0,1,0,0,0,0,0,1,0,0,0,0
258,729000,8,4,40,2,3,0,1,0,0,0,0,0,0,0,0,0,0
259,800000,25,2,80,4,1,0,1,0,0,0,0,0,1,0,0,0,0
260,2500000,0,3,125,4,1,0,1,0,0,0,0,0,0,0,0,0,1
261,1485000,13,5,125,4,4,0,1,0,0,0,0,0,1,0,0,0,0
262,2430000,3,5,210,6,1,0,1,0,0,0,0,0,1,0,0,0,0
263,1250000,0,5,90,3,1,0,1,0,0,0,0,0,1,0,0,0,0
264,1700000,3,5,135,4,3,0,1,0,0,0,0,0,1,0,0,0,0
265,860000,25,5,95,3,4,0,1,0,0,1,0,0,0,0,0,0,0
266,530000,8,3,65,3,1,0,1,0,0,0,0,0,0,0,1,0,0
267,1300000,0,3,120,3,3,1,0,0,0,0,0,0,1,0,0,0,0
268,1250000,8,4,95,3,1,0,1,0,0,0,0,0,1,0,0,0,0
269,1550000,0,3,130,4,3,0,1,0,0,0,0,0,1,0,0,0,0
270,2600000,8,7,115,4,3,0,1,0,0,0,0,0,1,0,0,0,0
271,2800000,25,3,130,4,3,0,1,0,0,0,1,0,0,0,0,0,0
272,2650000,25,18,175,5,16,0,1,0,0,0,0,0,0,0,1,0,0
273,2100000,8,6,100,4,4,0,1,0,0,0,0,0,0,0,0,0,1
274,575000,18,1,296,3,1,0,1,0,0,0,0,0,0,0,0,1,0
275,1690000,8,8,90,3,3,0,1,0,0,0,0,0,0,0,1,0,0
276,3000000,13,5,180,5,2,0,1,0,0,0,0,0,0,0,0,0,1
277,765000,25,5,90,3,5,0,1,0,0,0,0,0,1,0,0,0,0
278,1200000,4,5,100,3,1,0,1,0,0,0,0,0,1,0,0,0,0
279,750000,18,3,149,2,3,1,0,0,0,1,0,0,0,0,0,0,0
280,1180000,4,4,125,4,1,0,1,0,0,0,0,0,1,0,0,0,0
281,800000,8,4,70,3,1,0,1,0,0,0,0,0,1,0,0,0,0
282,1050000,18,4,135,4,2,0,1,0,0,0,0,0,1,0,0,0,0
283,4600000,0,11,200,5,3,0,1,0,0,0,0,0,0,0,0,0,1
284,8500000,3,3,300,5,2,0,1,0,0,0,0,0,1,0,0,0,0
285,1115000,8,3,75,3,2,0,1,0,0,0,0,0,1,0,0,0,0
286,1115000,8,3,75,3,2,0,1,0,0,0,0,0,1,0,0,0,0
287,775000,8,3,70,3,3,0,1,0,0,0,0,0,1,0,0,0,0
288,6900000,13,17,200,5,10,0,1,0,0,0,0,0,0,0,1,0,0
289,1280000,18,5,115,3,4,0,1,0,0,0,0,0,1,0,0,0,0
290,2150000,4,6,220,6,6,1,0,0,0,0,0,0,1,0,0,0,0
291,1360000,0,6,140,4,1,0,1,0,0,0,0,0,1,0,0,0,0
292,2200000,8,11,92,3,6,0,1,0,0,0,0,0,0,0,0,0,1
293,1700000,8,5,110,3,3,0,1,0,0,0,0,0,1,0,0,0,0
294,3150000,8,5,135,4,2,0,1,0,0,0,0,0,1,0,0,0,0
295,1050000,0,3,120,4,1,0,1,0,0,0,0,0,1,0,0,0,0
296,450000,25,4,120,4,4,0,1,0,0,0,0,0,1,0,0,0,0
297,960000,8,4,65,3,4,0,1,0,0,0,0,0,1,0,0,0,0
298,585000,18,3,95,3,-3,0,1,0,0,0,0,0,1,0,0,0,0
299,2850000,25,4,100,4,4,0,0,1,0,0,0,0,1,0,0,0,0
300,2950000,18,2,250,7,2,0,0,1,0,1,0,0,0,0,0,0,0
301,1325000,8,6,84,3,3,0,1,0,0,0,0,0,0,0,1,0,0
302,2200000,0,3,140,4,2,0,1,0,0,0,0,0,1,0,0,0,0
303,1179000,8,4,75,3,4,0,1,0,0,0,0,0,1,0,0,0,0
304,395000,25,4,87,3,3,0,1,0,0,0,0,0,0,0,0,1,0
305,1730000,4,14,95,3,9,0,1,0,0,0,0,0,1,0,0,0,0
306,950000,8,4,90,3,2,0,1,0,0,0,0,0,1,0,0,0,0
307,1450000,0,3,90,3,2,0,1,0,0,0,0,0,0,0,0,0,1
308,1950000,0,3,170,5,3,0,1,0,0,0,0,0,0,0,0,0,1
309,1460000,4,3,140,5,3,0,1,0,0,0,0,0,1,0,0,0,0
310,1250000,4,6,88,3,3,0,1,0,0,0,0,0,1,0,0,0,0
311,1250000,25,3,110,3,3,0,1,0,0,0,0,0,0,0,0,1,0
312,790000,4,3,60,2,1,0,1,0,0,0,0,0,1,0,0,0,0
313,550000,25,4,125,4,4,0,1,0,0,0,0,0,0,0,0,1,0
314,2250000,25,5,220,6,5,0,1,0,0,0,0,0,0,0,1,0,0
315,1100000,25,5,175,4,5,0,1,0,0,0,0,0,1,0,0,0,0
316,1175000,25,4,160,4,2,0,1,0,0,0,0,0,1,0,0,0,0
317,4250000,25,2,60,3,1,0,1,0,0,0,0,0,1,0,0,0,0
318,825000,25,4,75,3,1,0,1,0,0,0,0,0,1,0,0,0,0
319,850000,18,4,150,4,-3,0,1,0,0,0,0,0,1,0,0,0,0
320,850000,18,4,120,3,-2,0,1,0,0,0,0,0,1,0,0,0,0
321,4200000,25,4,125,3,4,0,0,1,0,0,0,0,1,0,0,0,0
322,580000,25,2,70,3,2,0,1,0,0,0,0,0,0,0,0,0,0
323,3450000,8,4,220,7,1,0,1,0,0,0,0,0,1,0,0,0,0
324,1250000,25,4,95,4,3,0,1,0,0,0,0,0,1,0,0,0,0
325,1150000,4,3,110,4,2,0,1,0,0,0,0,0,1,0,0,0,0
326,2000000,25,6,145,5,6,0,1,0,0,0,0,0,0,0,1,0,0
